PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,Disease_state
7.599226874584687,-9.699018396274417,17.08557578878428,1.3923009955673444,-1.3818357401287822,6.066663193245315,3.086512709360689,-1.7899729453295188,docetaxel resistant tumor
-5.74476365804589,-3.064441346904221,12.984130630662477,-5.199284421458813,-4.116795650575872,-2.254161974643923,3.240037427056369,4.641009625976399,docetaxel resistant tumor
-5.494854945285405,-4.147987101846104,10.377910311937262,-1.918690385047407,2.8597049312260703,7.054408808916548,3.5997846019470336,8.891694896868765,docetaxel resistant tumor
15.910779700284053,-13.908442869556955,15.049024305603636,3.501007785770333,2.3319323785899115,2.77321590482546,-0.3518834341627825,-6.347920408146311,docetaxel resistant tumor
-11.064636034130949,-1.6834264162472679,8.416818745015323,-14.405499053102393,-6.579675154187955,-10.238751860641072,-5.58773683233686,-4.892991805919155,docetaxel resistant tumor
30.921749927909662,0.10779323739998915,1.8908288065659637,3.34300503732539,3.688285277493097,-6.796670765212322,2.01599912469829,-1.2828229477294997,docetaxel resistant tumor
8.95457727104026,14.355699643114692,2.773863221317751,-1.4378679838688209,10.9568513568286,-1.4548232404680104,-0.9975984832472781,-4.027685525950432,docetaxel resistant tumor
-2.5738784417317055,16.72952164783443,5.454709729169762,4.466097252499655,6.037293747977027,1.662302268899922,-5.768109105935076,-2.676493174583114,docetaxel resistant tumor
-10.162576352493911,15.200343086328683,3.3812623507401436,15.140230066081394,-2.197781347099484,0.4971522359322187,-3.2008239130950877,-0.5585694688745954,docetaxel resistant tumor
-5.946444044125879,-8.067937464798849,-3.590997917952641,14.066346373527233,-1.4453535034596463,-1.6769732419904297,-6.684926952840909,3.143984023045195,docetaxel resistant tumor
2.028239636197265,8.146504841450135,2.7111579682409404,-5.064517511541662,-10.82294427535436,-0.7807877993578581,-5.395052177570985,-3.168918570663649,docetaxel resistant tumor
16.255969127739558,-5.0911064531625385,-11.77981161805057,-0.26231071739458356,-3.00160660619487,-2.0631352375606493,-1.1107104220383368,5.61565216523041,docetaxel resistant tumor
10.79236083029753,2.6507187636043756,-7.728156369530318,-3.282580820822305,-0.6475409419683584,-3.9589198537740047,1.2700883453877712,3.4407032931985904,docetaxel resistant tumor
16.343599845425604,6.320173192341846,-6.302376712424296,-3.2678367670031045,-2.177934163182726,-4.8675895774757745,4.14703457005214,4.653488381576927,docetaxel resistant tumor
-17.37221986710823,1.7326200478626288,-1.2290978024520918,-8.630309652953438,12.055598627866834,-2.2718682198951234,2.071792387219971,2.0002030533837294,docetaxel sensitive tumor
-10.233795883663175,-2.082931358005622,1.4080289473533016,-2.393850233445268,-0.6665651744013117,0.042384168881956126,-3.7326927762028252,4.086154654503175,docetaxel sensitive tumor
-11.9959673983179,-2.100444902890964,1.6300382007476457,0.9646079818747548,2.671723254524404,-3.4612324873880187,-0.38698020667771826,5.899634720457978,docetaxel sensitive tumor
2.5611965947831488,18.519866995175914,-1.7863553636427199,-3.1787746971980733,-7.819527541828661,11.438298443215679,6.257959585129666,1.590638838835395,docetaxel sensitive tumor
-8.265091589466792,-11.228262355609631,-3.7006378768865793,7.077492268592645,-1.7756039858455115,-0.5915116552662666,2.284248563813829,-1.2518385666544924,docetaxel sensitive tumor
-2.049710673401412,-6.640796612364914,-11.35645453405929,-4.457103883048231,-1.5336483761830486,7.56165909138427,-2.8071076070212317,-4.987725436926155,docetaxel sensitive tumor
-16.427249517526896,0.1991194963649945,-6.133720305829915,7.3913507222226125,-4.046247081611492,-6.21027539651708,13.878611198634143,-7.956371547743416,docetaxel sensitive tumor
1.816390170275707,-6.142354877108448,-12.723160340010793,-6.530250410688316,-0.25394974926523,7.7859107290676866,-3.524672260557671,-3.8943470208169284,docetaxel sensitive tumor
-5.790607021205222,-5.503431093836848,-9.816897117745249,-4.170030164284127,8.765538693823675,2.276208781600617,1.713178704156542,-3.2807853435598964,docetaxel sensitive tumor
-0.06229455203411558,-4.6017797028709335,-7.015683047554044,6.856468218395199,-0.8999189770423238,-0.5315023157791673,-4.0169530457696725,2.153279109820588,docetaxel sensitive tumor
